,5523,Gx,Boo,,,1414.8+2519
,5529,Gx,Boo,,,1415.6+3613
,5533,Gx,Boo,,,1416.1+2555
,5548,Gx,Boo,,,1418.0+3520
,5560,Gx,Vir,,,1420.1+0356
,5582,Gx,Boo,,,1420.7+3941
,5585,Gx,UMa,,,1419.8+5634
,5590,Gx,Boo,,,1421.6+3512
,5595,Gx,Lib,,,1424.2-1643
,5597,Gx,Lib,,,1424.4-1645
,5600,Gx,Boo,,,1423.8+1438
,5602,Gx,Boo,,,1422.3+5030
,5605,Gx,Lib,,,1425.1-1309
,5638,Gx,Vir,,,1429.7+0314
,5660,Gx,Boo,,,1429.8+4937
,5668,Gx,Vir,,,1433.4+0427
,5687,Gx,Boo,,,1434.9+5428
,5728,Gx,Lib,,,1442.4-1715
,5750,Gx,Vir,,,1446.2-0013
,5775,Gx,Vir,,,1454.0+0332
,5791,Gx,Lib,,,1458.8-1916
,5806,Gx,Vir,,,1500.0+0142
,5812,Gx,Lib,,,1500.9-0727
,5813,Gx,Vir,,,1501.2+0142
,5831,Gx,Vir,,,1504.1+0113
,5838,Gx,Vir,,,1505.4+0205
,5850,Gx,Vir,,,1507.1+0132
,5854,Gx,Vir,,,1507.8+0234
,5861,Gx,Lib,,,1509.3-1119
,5864,Gx,Vir,,,1509.6+0303
,5878,Gx,Lib,,,1513.8-1416
,5879,Gx,Dra,,,1509.8+5700
,5899,Gx,Boo,,,1515.0+4202
,5970,Gx,Ser,,,1538.5+1211
,5985,Gx,Dra,,,1539.6+5919
,6015,Gx,Dra,,,1551.4+6218
,6058,Pl,Her,,,1604.4+4040
,6070,Gx,Ser,,,1610.0+0042
,6106,Gx,Her,,,1618.8+0724
,6155,Gx,Her,,,1626.1+4822
,6166,Gx,Her,,,1628.6+3933
,6181,Gx,Her,,,1632.3+1949
,6239,Gx,Her,,,1650.1+4244
,6340,Gx,Dra,,,1710.4+7218
,6507,OC,Sgr,,,1759.6-1723
,6526,Nb,Sgr,,,1804.4-2332
,6548,Gx,Her,,,1806.0+1835
,6596,OC,Sgr,,,1817.5-1639
,6604,+N,Ser,,,1818.1-1213
,6717,Gb,Sgr,,,1855.1-2242
,6772,Pl,Aql,,,1914.6-0242
,6793,OC,Vul,,,1923.2+2208
,6800,OC,Vul,,,1927.2+2505
,6804,Pl,Aql,,,1931.6+0913
,6814,Gx,Aql,,,1942.7-1019
